Fecha,Ticker,Nombre empresa,Acciones,Dividendo bruto,Porcentaje retencion origen,Retención,Dividendo neto,Moneda
2021-06-03,ACX.MC,ACX.MC,92,46.0,0.19,8.74,37.26,EUR
2021-06-17,TEF.MC,TEF.MC,3,0.59,0.19,0.11,0.48,EUR
2021-07-07,REP.MC,REP.MC,95,28.5,0.19,5.42,23.08,EUR
2021-07-08,ENG.MC,ENG.MC,54,54.43,0.19,10.34,44.09,EUR
2021-10-01,EBRO.MC,EBRO.MC,58,11.02,0.19,2.09,8.93,EUR
2021-11-30,MAP.MC,MAP.MC,534,32.36,0.19,6.15,26.21,EUR
2021-12-21,ENG.MC,ENG.MC,54,36.72,0.19,6.98,29.74,EUR
2021-12-22,EBRO.MC,EBRO.MC,58,33.06,0.19,6.28,26.78,EUR
2022-01-11,REP.MC,REP.MC,95,28.5,0.19,5.42,23.08,EUR
2022-01-25,TEF.MC,TEF.MC,276,2.5,0.0,0.0,2.5,EUR
2022-02-09,IBE.MC,IBE.MC,108,7.76,0.0,0.0,7.76,EUR
2022-02-24,LOG.MC,LOG.MC,57,47.31,0.19,8.99,38.32,EUR
2022-03-15,ACS.MC,ACS.MC,44,21.03,0.0,0.0,21.03,EUR
2022-04-01,EBRO.MC,EBRO.MC,58,11.02,0.19,2.09,8.93,EUR
2022-04-14,MCM.MC,MCM.MC,80,8.27,0.19,1.57,6.7,EUR
2022-05-31,MAP.MC,MAP.MC,534,45.76,0.19,8.69,37.07,EUR
2022-06-20,IBE.MC,IBE.MC,109,0.55,0.19,0.1,0.45,EUR
2022-06-30,EBRO.MC,EBRO.MC,58,11.02,0.19,2.09,8.93,EUR
2022-07-05,ACX.MC,ACX.MC,197,98.5,0.19,18.72,79.78,EUR
2022-07-07,REP.MC,REP.MC,95,31.35,0.19,5.96,25.39,EUR
2022-07-07,ENG.MC,ENG.MC,54,55.08,0.19,10.47,44.61,EUR
2022-07-13,MCM.MC,MCM.MC,80,9.12,0.19,1.73,7.39,EUR
2022-08-03,TEF.MC,TEF.MC,286,1.01,0.0,0.0,1.01,EUR
2022-08-04,ACS.MC,ACS.MC,46,2.3,0.19,0.44,1.86,EUR
2022-08-24,LOG.MC,LOG.MC,57,24.51,0.19,4.66,19.85,EUR
2022-09-29,TROW,"T. Rowe Price Group, Inc.",9,10.8,0.3,4.68,6.31,USD
2022-10-03,EBRO,EBRO,58,11.02,0.19,2.09,8.93,EUR
2022-10-17,MCM,MCM,80,7.67,0.19,1.46,6.21,EUR
2022-11-30,MAP,MAP,534,32.25,0.19,6.13,26.12,EUR
2022-12-14,MCM,MCM,80,8.31,0.19,1.58,6.73,EUR
2022-12-15,TEF,TEF,295,44.25,0.19,8.41,35.84,EUR
2022-12-21,ENG,ENG,54,37.15,0.19,7.06,30.09,EUR
2022-12-29,TROW,"T. Rowe Price Group, Inc.",9,10.8,0.3,4.68,5.76,USD
2023-01-11,REP,REP,95,33.25,0.19,6.32,26.93,EUR
2023-01-27,ACX,ACX,197,59.1,0.19,11.23,47.87,EUR
2023-01-31,IBE,IBE,112,20.16,0.19,3.83,16.33,EUR
2023-02-09,ACS,ACS,46,22.08,0.19,4.2,17.88,EUR
2023-02-09,KNOP,KNOP,102,2.65,0.0,0.5,2.0,USD
2023-02-23,LOG,LOG,57,54.15,0.19,10.29,43.86,EUR
2023-03-01,INTC,INTC,35,12.78,0.3,5.53,6.8,USD
2023-03-13,MMM,MMM,10,15.0,0.3,6.5,7.92,USD
2023-03-30,TROW,"T. Rowe Price Group, Inc.",9,10.98,0.3,4.75,5.74,USD
2023-04-03,EBRO,EBRO,58,11.02,0.19,2.09,8.93,EUR
2023-04-20,MCM,MCM,80,8.95,0.19,1.7,7.25,EUR
2023-05-01,VZ,VZ,28,18.27,0.3,7.91,9.4,USD
2023-05-03,IBE,IBE,112,0.56,0.19,0.11,0.45,EUR
2023-05-11,KNOP,KNOP,102,2.65,0.0,0.5,1.96,USD
2023-05-24,MAP,MAP,534,45.66,0.19,8.68,36.98,EUR
2023-06-01,INTC,INTC,35,4.38,0.3,1.89,2.33,USD
2023-06-12,MMM,MMM,20,30.0,0.3,12.99,15.84,USD
2023-06-15,TEF,TEF,295,44.25,0.19,8.41,35.84,EUR
2023-06-29,TROW,"T. Rowe Price Group, Inc.",9,10.98,0.3,4.75,5.72,USD
2023-06-30,EBRO,EBRO,58,11.02,0.19,2.09,8.93,EUR
2023-07-06,REP,REP,95,33.25,0.19,6.32,26.93,EUR
2023-07-06,ENG,ENG,54,55.73,0.19,10.59,45.14,EUR
2023-07-13,MCM,MCM,80,10.01,0.19,1.9,8.11,EUR
2023-07-14,WPC,W. P. Carey Inc.,16,17.1,0.3,7.4,8.63,USD
2023-07-17,ACX,ACX,197,59.1,0.19,11.23,47.87,EUR
2023-07-31,IBE,IBE,112,35.39,0.19,6.72,28.67,EUR
2023-08-01,CVS,CVS,16,9.68,0.3,4.19,5.0,USD
2023-08-01,VZ,VZ,28,18.27,0.3,7.91,9.43,USD
2023-08-10,KNOP,KNOP,102,2.65,0.0,0.5,1.95,USD
2023-08-10,ACS,ACS,46,9.28,0.0,0.0,9.28,EUR
2023-08-28,LOG,LOG,57,27.93,0.19,5.31,22.62,EUR
2023-09-01,INTC,INTC,35,4.38,0.3,1.89,2.3,USD
2023-09-12,MMM,MMM,20,30.0,0.3,12.99,15.83,USD
2023-09-28,TROW,"T. Rowe Price Group, Inc.",9,10.98,0.3,4.75,5.94,USD
2023-10-02,EBRO,EBRO,58,11.02,0.19,2.09,8.93,EUR
2023-10-16,WPC,W. P. Carey Inc.,16,17.14,0.3,7.42,9.23,USD
2023-10-19,MCM,MCM,80,8.36,0.19,1.59,6.77,EUR
2023-11-01,CVS,CVS,16,9.68,0.3,4.19,5.2,USD
2023-11-01,VZ,VZ,28,18.62,0.3,8.07,9.98,USD
2023-11-08,WPC,W. P. Carey Inc.,16,0.77,0.0,0.0,0.72,USD
2023-11-09,KNOP,KNOP,102,2.65,0.0,0.5,2.0,USD
2023-11-09,WPC,W. P. Carey Inc.,16,-0.77,0.0,0.0,-0.72,USD
2023-11-09,WPC,W. P. Carey Inc.,16,0.77,0.0,0.0,0.72,USD
2023-11-30,MAP,MAP,534,32.2,0.19,6.12,26.08,EUR
2023-12-01,INTC,INTC,35,4.38,0.3,1.89,2.29,USD
2023-12-12,MMM,MMM,20,30.0,0.3,12.99,15.79,USD
2023-12-12,WPC,W. P. Carey Inc.,16,0.0,0.0,5.78,-5.39,USD
2023-12-14,TEF,TEF,295,44.25,0.19,8.41,35.84,EUR
2023-12-20,MCM,MCM,80,8.59,0.19,1.63,6.96,EUR
2023-12-22,ENG,ENG,54,37.58,0.19,7.14,30.44,EUR
2023-12-29,TROW,"T. Rowe Price Group, Inc.",9,10.98,0.3,4.75,5.64,USD
2024-01-11,WPC,W. P. Carey Inc.,16,0.0,0.0,5.78,5.39,USD
2024-01-11,REP,REP,95,38.0,0.19,7.22,30.78,EUR
2024-09-03,PFE,Pfizer Inc.,40,16.8,0.3,7.384,9.416,USD
2024-09-27,KHC,The Kraft Heinz Company,16,6.4,0.3,2.813,3.587,USD
2024-09-27,TROW,"T. Rowe Price Group, Inc.",5,6.2,0.3,2.723,3.477,USD
2024-10-01,KO,The Coca-Cola Company,10,4.85,0.3,2.133,2.717,USD
2024-10-10,MO,"Altria Group, Inc.",14,14.28,0.3,6.397,7.883,USD
2024-10-11,BEN,"Franklin Resources, Inc.",31,9.61,0.3,4.318,5.292,USD
